time_limit_s,c_coefficient,red_wins_mean,red_wins_std,win_rate_mean,run1,run2,run3,run4,run5
0.5,5.0,99.4,0.5477225575051661,0.9940000000000001,100,99,99,99,100
0.5,3.0,99.8,0.4472135954999579,0.998,100,99,100,100,100
0.5,2.5,99.4,0.8944271909999159,0.9940000000000001,100,100,99,98,100
0.5,2.0,100.0,0.0,1.0,100,100,100,100,100
0.5,1.75,100.0,0.0,1.0,100,100,100,100,100
0.5,1.5,99.4,0.8944271909999159,0.9940000000000001,99,98,100,100,100
0.5,1.25,99.8,0.4472135954999579,0.998,100,100,100,99,100
0.5,1.0,99.8,0.4472135954999579,0.998,100,100,99,100,100
0.5,0.75,99.4,0.8944271909999159,0.9940000000000001,98,100,100,100,99
0.5,0.5,99.6,0.8944271909999159,0.996,100,100,100,100,98
0.5,0.25,99.8,0.4472135954999579,0.998,100,100,100,100,99
0.5,0.0,96.6,1.3416407864998738,0.966,96,96,98,98,95
0.3,5.0,99.0,0.0,0.99,99,99,99,99,99
0.3,3.0,99.4,0.8944271909999159,0.9940000000000001,100,98,100,99,100
0.3,2.5,99.0,1.7320508075688772,0.99,96,100,100,99,100
0.3,2.0,98.8,1.0954451150103321,0.988,100,97,99,99,99
0.3,1.75,98.2,1.3038404810405297,0.982,98,99,96,99,99
0.3,1.5,99.4,0.5477225575051661,0.9940000000000001,99,99,99,100,100
0.3,1.25,99.4,0.5477225575051661,0.9940000000000001,99,99,99,100,100
0.3,1.0,98.8,0.8366600265340756,0.988,98,100,99,99,98
0.3,0.75,99.0,0.7071067811865476,0.99,99,98,100,99,99
0.3,0.5,98.8,0.8366600265340756,0.988,98,99,98,99,100
0.3,0.25,99.4,0.8944271909999159,0.9940000000000001,100,100,98,100,99
0.3,0.0,93.8,3.9623225512317894,0.938,95,87,96,94,97
0.25,5.0,99.2,0.8366600265340756,0.992,99,99,98,100,100
0.25,3.0,99.4,0.8944271909999159,0.9940000000000001,100,100,100,99,98
0.25,2.5,99.6,0.5477225575051661,0.996,100,100,100,99,99
0.25,2.0,99.8,0.4472135954999579,0.998,100,99,100,100,100
0.25,1.75,99.2,1.3038404810405297,0.992,100,99,100,100,97
0.25,1.5,98.4,1.3416407864998738,0.9840000000000001,99,100,97,97,99
0.25,1.25,99.0,1.4142135623730951,0.99,100,98,100,97,100
0.25,1.0,98.8,1.7888543819998317,0.988,100,96,98,100,100
0.25,0.75,99.2,0.8366600265340756,0.992,100,98,99,100,99
0.25,0.5,99.0,1.0,0.99,98,100,100,98,99
0.25,0.25,99.0,1.7320508075688772,0.99,99,100,100,96,100
0.25,0.0,95.8,3.492849839314596,0.958,100,94,91,98,96
0.2,5.0,98.2,1.0954451150103321,0.982,98,100,98,98,97
0.2,3.0,99.2,1.3038404810405297,0.992,100,99,100,100,97
0.2,2.5,99.6,0.5477225575051661,0.996,99,99,100,100,100
0.2,2.0,99.0,1.0,0.99,100,100,99,98,98
0.2,1.75,98.8,0.8366600265340756,0.988,100,99,98,99,98
0.2,1.5,98.8,0.4472135954999579,0.988,99,99,99,98,99
0.2,1.25,98.6,1.51657508881031,0.986,99,100,100,97,97
0.2,1.0,98.2,1.3038404810405297,0.982,99,99,96,99,98
0.2,0.75,99.0,1.0,0.99,98,100,99,100,98
0.2,0.5,99.0,1.0,0.99,100,98,98,100,99
0.2,0.25,99.0,0.7071067811865476,0.99,99,100,99,98,99
0.2,0.0,97.0,1.4142135623730951,0.97,97,97,97,99,95
0.1,5.0,97.8,1.6431676725154982,0.978,99,99,98,95,98
0.1,3.0,98.4,0.5477225575051661,0.9840000000000001,98,99,98,98,99
0.1,2.5,98.2,0.8366600265340756,0.982,98,97,99,98,99
0.1,2.0,97.6,1.51657508881031,0.976,97,97,96,98,100
0.1,1.75,99.0,0.7071067811865476,0.99,99,98,100,99,99
0.1,1.5,98.8,1.0954451150103321,0.988,99,100,99,99,97
0.1,1.25,98.0,1.7320508075688772,0.98,99,99,99,98,95
0.1,1.0,98.8,0.8366600265340756,0.988,99,100,98,98,99
0.1,0.75,99.6,0.5477225575051661,0.996,100,100,99,100,99
0.1,0.5,98.0,1.224744871391589,0.98,99,98,96,98,99
0.1,0.25,98.8,0.8366600265340756,0.988,99,98,98,99,100
0.1,0.0,96.2,0.8366600265340756,0.9620000000000001,97,97,96,96,95
0.05,5.0,96.2,1.7888543819998317,0.9620000000000001,96,99,94,96,96
