episode,epsilon_is,push_p10_is,push_p10_nois,push_p20_is,push_p20_nois,push_p30_is,push_p30_nois
137,-505,-505,-505,-505,-505,-505,-505
138,-505,-505,-505,-505,-505,-505,-505
139,-505,-505,-505,-505,-505,-505,-505
140,-505,-505,-505,-505,-505,-505,-505
141,-505,-505,-505,-505,-505,-505,-505
142,-505,-505,-175,-505,-505,-505,-505
143,-505,-505,-505,-505,-505,-505,-505
144,-505,-505,-505,-505,-505,-505,-505
145,-22,-505,-505,-505,-505,-505,-505
146,-505,-505,-505,-505,-505,-505,-505
147,-505,-505,-505,-505,-505,-505,-505
148,-505,-505,-505,-505,-505,-505,-505
149,-505,-505,-505,-39,-505,-505,-505
150,-505,-505,-505,-505,-505,-505,-505
151,-505,-505,-505,-505,-505,-505,-505
152,-490,-262,-505,-505,-505,-505,-505
153,-505,-505,-505,-505,-505,-505,-505
154,-505,-505,-505,-505,-505,-505,-505
155,-505,-505,-505,-505,-505,-505,-505
156,-505,-505,-505,-505,-505,-505,-505
157,-505,-505,-505,-505,-505,-505,-505
158,-505,-505,-228,-505,-505,-505,-505
159,-48,-505,-505,-505,-505,-505,-505
160,-505,-505,-505,-505,-505,-505,-505
161,-505,-505,-505,-505,-505,-505,-505
162,-505,-505,-505,-505,-505,-505,-505
163,-505,-505,-505,-505,-505,-505,-505
164,-505,-505,-505,-505,-505,-505,-505
165,-505,-505,-505,-505,-505,-505,-505
166,-505,-505,-306,-505,-505,-505,-505
167,-505,-505,-505,-505,-505,-505,-505
168,-505,-505,-505,-505,-505,-505,-505
169,-505,-505,-498,-505,-505,-505,-505
170,-505,-505,-505,-505,-505,-505,-505
171,-505,-505,-395,-505,-505,-505,-505
172,-505,-505,-505,-320,-505,-505,-505
173,-505,-505,-505,-505,-505,-505,-505
174,-505,-505,-505,-505,-505,-505,-505
175,-505,-505,-505,-505,-505,-505,-505
176,-505,-505,-505,-505,-505,-505,-505
177,-505,-505,-505,-505,-505,-505,-505
178,-505,-505,-505,-505,-505,-505,-505
179,-505,-505,-505,-505,-505,-505,-505
180,-505,-505,-505,-505,-505,-505,-505
181,-505,-505,-505,-505,-505,-505,-505
182,-505,-505,-505,-505,-505,-505,-505
183,-505,-505,-505,-505,-505,-505,-505
184,-188,-505,-505,-505,-505,-505,-505
185,-505,-505,-505,-505,-505,-505,-505
186,-505,-505,-505,-505,-505,-505,-505
187,-505,-505,-505,-505,-505,-505,-505
188,-505,-505,-505,-505,-505,-505,-505
189,-505,-505,-505,-505,-505,-505,-505
190,-505,-505,-505,-505,-505,-505,-505
191,-505,-505,-505,-505,-505,-505,-55
192,-312,-505,-505,-505,-505,-505,-505
193,-505,-505,-505,-505,-505,-505,-505
194,-505,-505,-505,-505,-505,-505,-505
195,-505,-505,-505,-505,-505,-505,-505
196,-505,-505,-505,-505,-505,-505,-505
197,-505,-505,-505,-505,-505,-505,-505
198,-505,-505,-505,-505,-505,-505,-505
199,-505,-505,-505,-505,-505,-505,-505
200,-505,-505,-505,-505,-505,-505,-505
201,-505,-505,-505,-505,-505,-505,-505
202,-463,-505,-505,-403,-505,-505,-505
203,-505,-505,-505,-505,-505,-505,-505
204,-505,-505,-505,-505,-476,-505,-505
205,-505,-505,-505,-505,-505,-505,-505
206,-505,-505,-505,-505,-505,-505,-505
207,-505,-505,-505,-505,-505,-505,-505
208,-505,-505,-505,-505,-505,-505,-505
209,-505,-505,-505,-505,-505,-505,-505
210,-505,-505,-505,-505,-505,-505,-505
211,-505,-505,-173,-505,-505,-505,-505
212,-505,-423,-505,-505,-505,-505,-505
213,-505,-505,-505,-505,-505,-505,-505
214,-505,-505,-505,-505,-505,-505,-505
215,-505,-505,-505,-505,-505,-505,-505
216,-505,-505,-505,-505,-505,-505,-505
217,-505,-505,-505,-505,-505,-505,-505
218,-505,-505,-505,-505,-505,-505,-505
219,-505,-505,-505,-505,-505,-505,-505
220,-505,-505,-505,-505,-505,-505,-505
221,-505,-505,-505,-505,-505,-505,-505
222,-505,-505,-505,-505,-505,-505,-505
223,-505,-505,-505,-505,-505,-505,-505
224,-505,-505,-505,-505,-505,-505,-505
225,-505,-505,-505,-505,-505,-505,-505
226,-491,-505,-505,-505,-505,-505,-505
227,-505,-505,-479,-505,-505,-505,-505
228,-505,-505,-505,-505,-51,-505,-505
229,-505,-505,-505,-505,-505,-505,-505
230,-505,-505,-505,-505,-505,-505,-505
231,-505,-505,-505,-505,-505,-505,-505
232,-505,-505,-439,-505,-505,-505,-505
233,-505,-505,-505,-505,-505,-505,-505
234,-505,-505,-490,-505,-505,-505,-505
235,-505,-505,-505,-505,-189,-505,-505
236,-505,-505,-505,-505,-505,-505,-505
237,-505,-505,-505,-505,-505,-505,-505
238,-505,-505,-505,-505,-505,-505,-505
239,-505,-505,-505,-505,-505,-505,-505
240,-505,-505,-505,-505,-505,-505,-505
241,-505,-505,-505,-505,-505,-505,-505
242,-505,-505,-505,-505,-505,-505,-505
243,-505,-505,-505,-505,-505,-505,-505
244,-505,-505,-505,-505,-505,-505,-505
245,-505,-505,-80,-505,-505,-505,-505
246,-505,-505,-505,-293,-505,-505,-505
247,-413,-505,-505,-505,-505,-505,-505
248,-505,-505,-505,-505,-505,-505,-505
249,-505,-505,-505,-505,-505,-505,-505
250,-505,-310,-505,-505,-505,-505,-505
251,-505,-505,-505,-505,-505,-505,-505
252,-505,-505,-505,-505,-505,-505,-505
253,-505,-505,-505,-505,-505,-505,-505
254,-505,-505,-505,-505,-505,-505,-505
255,-505,-338,-505,-505,-505,-505,-505
256,-505,-505,-505,-505,-505,-505,-505
257,-505,-122,-505,-505,-505,-505,-505
258,-505,-505,-505,-505,-505,-505,-505
259,-505,-505,-505,-505,-505,-505,-505
260,-505,-505,-505,-505,-505,-505,-505
261,-505,-505,-186,-505,-505,-505,-505
262,-505,-505,-505,-505,-505,-505,-505
263,-505,-505,-505,-505,-505,-505,-505
264,-505,-505,-505,-505,-505,-505,-505
265,-505,-505,-505,-505,-505,-505,-505
266,-130,-505,-505,-505,-505,-505,-505
267,-505,-505,-505,-505,-505,-505,-505
268,-505,-505,-505,-505,-505,-505,-505
269,-505,-505,-505,-505,-505,-505,-505
270,-118,-505,-505,-505,-505,-505,-505
271,-60,-505,-131,-505,-505,-505,-505
272,-505,-505,-505,-505,-505,-505,-505
273,-505,-505,-505,-505,-505,-505,-505
274,-505,-505,-505,-505,-505,-505,-505
275,-505,-505,-505,-505,-505,-505,-505
276,-175,-505,-505,-505,-505,-505,-505
277,-52,-505,-505,-505,-505,-505,-505
278,-505,-505,-288,-505,-505,-505,-505
279,-175,-505,-505,-505,-505,-505,-505
280,-505,-505,-505,-505,-505,-505,-505
281,-316,-505,-505,-505,-505,-505,-505
282,-505,-505,-505,-505,-505,-505,-505
283,-150,-452,-505,-505,-505,-505,-505
284,-505,-505,-505,-505,-505,-505,-505
285,-505,-505,-505,-505,-505,-505,-505
286,-505,-505,-505,-505,-505,-505,-505
287,-505,-505,-505,-505,-505,-505,-505
288,-505,-505,-505,-505,-505,-505,-505
289,-505,-505,-505,-505,-505,-505,-505
290,-505,-505,-505,-505,-505,-505,-505
291,-505,-505,-505,-505,-505,-505,-505
292,-505,-505,-492,-505,-505,-505,-505
293,-505,-505,-505,-505,-505,-505,-505
294,-505,-505,-505,-505,-505,-505,-505
295,-505,-505,-78,-505,-505,-505,-505
296,-505,-505,-505,-505,-505,-505,-505
297,-221,-505,-505,-505,-505,-505,-505
298,-505,-505,-505,-505,-505,-505,-505
299,-505,-505,-403,-505,-505,-505,-505
300,-398,-505,-505,-505,-505,-505,-505
301,-505,-505,-505,-505,-505,-505,-505
302,-490,-505,-505,-505,-505,-505,-505
303,-425,-134,-505,-505,-505,-505,-505
304,-505,-505,-505,-505,-505,-505,-505
305,-209,-505,-505,-505,-505,-505,-505
306,-134,-505,-505,-505,-505,-505,-505
307,-107,-505,-216,-505,-505,-505,-505
308,-496,-505,-391,-505,-505,-505,-505
309,-94,-89,-505,-505,-505,-505,-505
310,-91,-505,-505,-505,-149,-505,-505
311,-505,-505,-505,-505,-505,-505,-505
312,-377,-505,-505,-505,-505,-505,-505
313,-294,-505,-505,-98,-503,-505,-505
314,-505,-505,-459,-505,-505,-505,-505
315,-505,-505,-505,-505,-505,-505,-505
316,-152,-505,-450,-505,-505,-505,-505
317,-505,-505,-505,-505,-505,-505,-505
318,-243,-505,-505,-505,-505,-505,-505
319,-505,-505,-505,-505,-505,-505,-505
320,-505,-29,-198,-505,-505,-505,-505
321,-505,-505,-505,-505,-505,-505,-505
322,-175,-429,-505,-505,-505,-505,-505
323,-218,-505,-505,-505,-505,-505,-505
324,-505,-505,-505,-505,-254,-505,-505
325,-94,-505,-505,-505,-505,-505,-505
326,-24,-208,-505,-505,-505,-505,-505
327,-505,-505,-505,-505,-505,-505,-505
328,-145,-505,-505,-505,-505,-505,-505
329,-505,-505,-505,-505,-505,-505,-505
330,-378,-505,-505,-505,-505,-505,-505
331,-505,-505,-505,-505,-505,-505,-505
332,-113,-505,-505,-505,-505,-505,-505
333,-290,-505,-505,-505,-505,-505,-505
334,-505,-505,-356,-505,-505,-505,-505
335,-129,-505,-505,-505,-505,-505,-505
336,-505,-505,-505,-505,-505,-505,-505
337,-52,-505,-505,-505,-505,-505,-505
338,-505,-505,-56,-505,-505,-505,-505
339,-505,-505,-505,-505,-505,-505,-505
340,-383,-505,-505,-505,-505,-505,-505
341,-128,-505,-505,-505,-505,-505,-505
342,-130,-505,-386,-505,-505,-505,-505
343,-505,-505,-505,-505,-505,-505,-505
344,-505,-505,-505,-505,-505,-505,-505
345,-505,-505,-505,-505,-505,-505,-505
346,-505,-505,-505,-505,-505,-505,-505
347,-328,-505,-505,-505,-505,-505,-505
348,-225,-505,-505,-505,-505,-505,-505
349,-505,-505,-505,-505,-505,-505,-505
350,-505,-505,-505,-505,-505,-505,-505
351,-354,-505,-117,-505,-505,-505,-505
352,-505,-505,-505,-505,-505,-505,-505
353,-505,-505,-49,-505,-505,-505,-505
354,-295,-505,-505,-505,-505,-505,-505
355,-505,-505,-505,-505,-505,-505,-505
356,-75,-505,-505,-505,-505,-505,-505
357,-505,-505,-505,-505,-505,-505,-505
358,-321,-505,-433,-505,-505,-505,-505
359,-399,-505,-505,-505,-505,-505,-505
360,-23,-505,-263,-505,-505,-505,-505
361,-346,-505,-505,-505,-505,-505,-505
362,-93,-505,-505,-505,-505,-505,-505
363,-414,-505,-505,-505,-505,-505,-505
364,-256,-134,-505,-505,-505,-505,-505
365,-505,-505,-505,-505,-505,-505,-505
366,-358,-505,-505,-505,-505,-505,-505
367,-299,-505,-505,-505,-505,-505,-505
